path,filename,label,eccentricity,contourArea,contourPerimeter,contourCompactness,contourAspectRatio,contourExtent,Contrast,Dissimilarity,Homogeneity,Energy,Correlation,H_mean,S_mean,V_mean,H_STD,S_STD,V_STD,H_skewness,S_skewness,V_skewness,H_kurtosis,S_kurtosis,V_kurtosis
D:\ProjectMango\output\mango\augmentation-enhancement\MHN\Phrao District_12_June 2023_MHN_10_IMG_9634.jpg,Phrao District_12_June 2023_MHN_10_IMG_9634.jpg,MHN,2.560221070720611,3337609.0,7820.0,18.32221809085486,2.104761904761905,0.9988295745648686,12.481223627931573,1.0143131547962374,0.71299326781446,0.13522968638439828,0.9734899257185174,201.81146240234375,235.97891235351562,236.30686950683594,46.30289785808068,12.870792542506438,11.171003262630169,-0.6579215309532117,0.2149334595577232,-1.7360256037324786,-1.3179030924850144,-1.8335962045904275,11.034961935788628
D:\ProjectMango\output\mango\augmentation-enhancement\MHN\Phrao District_12_June 2023_MHN_10_IMG_9635.jpg,Phrao District_12_June 2023_MHN_10_IMG_9635.jpg,MHN,2.529608129010338,3200626.0,7790.0,18.960072185878637,2.3053435114503817,0.9987842180518655,11.590326857458718,1.1139426843041225,0.6839345387955202,0.12019021217608884,0.9805153424543411,196.04193115234375,233.20924377441406,233.61038208007812,48.18966535725713,14.466029733034029,13.55269904814346,-0.7671241812483739,0.11542753323331453,-1.3528903013860984,-1.1034911523181734,-1.7821774957218823,4.627174202872313
D:\ProjectMango\output\mango\augmentation-enhancement\MHN\Phrao District_12_June 2023_MHN_11_IMG_9636.jpg,Phrao District_12_June 2023_MHN_11_IMG_9636.jpg,MHN,2.4616259350698493,3427840.0,7916.0,18.280624533233755,2.091334894613583,0.998846377657899,15.64964466791626,1.0547000252306895,0.7165724656717988,0.12989122465019784,0.9699428692480094,195.1434783935547,233.33883666992188,234.80140686035156,48.674550969853634,13.93644883801675,11.109931468924978,-0.7704944747821981,0.10441706660256475,-1.7070791954279971,-1.157367240550021,-1.8172572724495832,11.09784588988475
D:\ProjectMango\output\mango\augmentation-enhancement\MHN\Phrao District_12_June 2023_MHN_11_IMG_9637.jpg,Phrao District_12_June 2023_MHN_11_IMG_9637.jpg,MHN,2.4931950968163097,3521236.0,8090.0,18.58668376672282,2.189125295508274,0.9988522903983285,19.872744422217494,1.1391701058487211,0.7081726298463387,0.12924193633393202,0.9687653723586691,191.76065063476562,231.07545471191406,232.5027313232422,49.77548524489328,15.46497442304984,13.699455167465212,-1.0595254550837723,0.07468486143517498,-1.6058466507355644,-0.5988133163673721,-1.8473758107527611,6.320849058239631
D:\ProjectMango\output\mango\augmentation-enhancement\MHN\Phrao District_12_June 2023_MHN_12_IMG_9638.jpg,Phrao District_12_June 2023_MHN_12_IMG_9638.jpg,MHN,2.328887964438806,2874916.0,7250.0,18.283142881392013,2.0920716112531967,0.9987403345165712,12.57933278366501,1.2440637765523006,0.6570372929782402,0.102125876861189,0.982167786536561,187.033447265625,228.61196899414062,228.71888732910156,50.604530650858756,15.848401169628216,14.754846875034197,-1.080991244642148,-0.08158542667067022,-0.6844125685033724,-0.4943396628071346,-1.8485266979827755,1.3374810351106659
D:\ProjectMango\output\mango\augmentation-enhancement\MHN\Phrao District_12_June 2023_MHN_12_IMG_9639.jpg,Phrao District_12_June 2023_MHN_12_IMG_9639.jpg,MHN,2.395902836989781,3108958.0,7598.0,18.56879507539182,2.1834170854271355,0.9987792176584238,16.870481725778625,1.4485935697808618,0.6404649921395705,0.11491437426396901,0.9833456459568934,187.2548828125,226.74896240234375,226.1644287109375,55.17804910127746,18.926745061179727,18.819795274020667,-0.8870074329811967,0.06128906117559981,-0.5351450623594526,-0.9776022226114511,-1.8448439058490946,0.14877178873294383
D:\ProjectMango\output\mango\augmentation-enhancement\MHN\Phrao District_12_June 2023_MHN_13_IMG_9640.jpg,Phrao District_12_June 2023_MHN_13_IMG_9640.jpg,MHN,2.5021896093246854,3273730.0,7814.0,18.65107873893082,2.20935960591133,0.9988076779680978,10.308749354214775,0.9308076070501777,0.7187488191505691,0.11600899120181947,0.9762670817065778,194.6958770751953,234.07701110839844,236.25242614746094,46.33359927703361,12.613135672044354,10.230412157868722,-1.0420159260727984,-0.024901477907395806,-1.8972178781785496,-0.6623305628674898,-1.8976374277291228,11.230793434922525
D:\ProjectMango\output\mango\augmentation-enhancement\MHN\Phrao District_12_June 2023_MHN_13_IMG_9641.jpg,Phrao District_12_June 2023_MHN_13_IMG_9641.jpg,MHN,2.5082456426863597,3492412.0,7904.0,17.888272059539368,1.9617977528089887,0.9988693972168238,12.51451545078819,0.9179791126009276,0.7344227858796334,0.12861330653854133,0.9733000373307716,197.65322875976562,234.28712463378906,237.31983947753906,46.35679466985096,13.382056640802602,10.859516105127875,-0.8068501466348043,0.056765765691809675,-2.7749443432959393,-1.1487531218007483,-1.9133987987367171,18.425151573756374
D:\ProjectMango\output\mango\augmentation-enhancement\MHN\Phrao District_12_June 2023_MHN_14_IMG_9642.jpg,Phrao District_12_June 2023_MHN_14_IMG_9642.jpg,MHN,2.6145729612607025,3136075.0,7688.0,18.84691660754287,2.270408163265306,0.9987754465081913,14.396902933967818,1.1993593209342688,0.6769910299765418,0.11725830562172039,0.9770128618635795,189.15737915039062,231.3233184814453,232.75689697265625,51.42885954274318,15.359742674203938,12.934661337135099,-0.9431868677252159,0.024767985611069673,-1.5048365288920929,-0.8423812142224341,-1.7939956548100933,7.788641547142143
D:\ProjectMango\output\mango\augmentation-enhancement\MHN\Phrao District_12_June 2023_MHN_14_IMG_9643.jpg,Phrao District_12_June 2023_MHN_14_IMG_9643.jpg,MHN,2.531980035195628,3461140.0,8114.0,19.021766238869276,2.324324324324324,0.9988289269473202,11.188851433343014,1.0558757449058152,0.7037232168114765,0.13585464147550666,0.9825753863187014,195.82432556152344,231.97865295410156,231.00636291503906,48.972551787254886,14.732793119675271,14.297370394983917,-0.7790113131335336,0.1324771631787177,-0.6195386551221984,-1.1806098447014557,-1.7800876903498066,0.9608684835965731
